Title,Date,Location,Description,ImageURL,User Name,Time_Zone,End_Date,Long_Lat
Freestyle Old School Jam in Las Vegas,04/28/18 07:30 PM,"Orleans Arena, 4500 West Tropicana Avenue, Las Vegas, Nevada 89103",,http://d1marr3m5x4iac.cloudfront.net/images/block/I0-001/000/361/930-3.jpg_/lisa-lisa-30.jpg,,PST,04/29/18 07:30 PM,"(36.1058151, -115.2022567)"
Los Lonely Boys in Las Vegas,04/20/18 08:00 PM,"Boulder Station Hotel and Casino, 4111 Boulder Highway, Las Vegas, Nevada 89121",,http://d1marr3m5x4iac.cloudfront.net/images/block/I0-001/015/458/368-1.jpeg_/los-lonely-boys-68.jpeg,,PST,04/21/18 08:00 PM,"(36.133052, -115.0849016)"
Eric B. & Rakim - The Technique Tour in Las Vegas,04/28/18 08:00 PM,"House of Blues - Las Vegas, 3950 Las Vegas Boulevard, Las Vegas, Nevada 89119",,http://d1marr3m5x4iac.cloudfront.net/images/block/I0-001/004/227/538-4.jpeg_/eric-b-38.jpeg,,PST,04/29/18 08:00 PM,"(36.093044, -115.175564)"
Vance Joy - lovelytheband in Las Vegas,04/20/18 07:00 PM,"Pearl Concert Theater at Palms, 4321 W. Flamingo Road, Las Vegas, Nevada 89103",,http://d1marr3m5x4iac.cloudfront.net/images/block/I0-001/016/945/895-4.jpeg_/vance-joy-95.jpeg,,PST,04/21/18 07:00 PM,"(36.1144832, -115.1948136)"
Caifanes in Las Vegas,05/04/18 08:00 PM,"House of Blues - Las Vegas, 3950 Las Vegas Boulevard, Las Vegas, Nevada 89119",,http://d1marr3m5x4iac.cloudfront.net/images/block/I0-001/004/310/086-5.jpeg_/caifanes-86.jpeg,,PST,05/05/18 08:00 PM,"(36.093044, -115.175564)"
John Fogerty in Las Vegas,05/02/18 08:00 PM,"Encore at Wynn Las Vegas, 3131 S Las Vegas Blvd, Las Vegas, Nevada 89109",,http://d1marr3m5x4iac.cloudfront.net/images/block/I0-001/039/934/400-5.jpeg_/john-fogerty-00.jpeg,,PST,05/03/18 08:00 PM,"(36.1290754, -115.1652896)"
"Jay And The Americans ... April 20, 2018 @ Golden Nugget Casino Las Vegas NV in Las Vegas",04/20/18 08:00 PM,"The Golden Nugget, 129 Fremont Street, Las Vegas, Nevada 89101",,http://d1marr3m5x4iac.cloudfront.net/images/block/I0-001/039/576/843-8.jpeg_/jay-and-americans-april-20-2018-golden-nugget-ca-43.jpeg,,PST,04/21/18 08:00 PM,"(36.1700355, -115.1448726)"
Matt Goss in Las Vegas,04/06/18 07:30 PM,"1 Oak at The Mirage, 3400 S. Las Vegas Blvd, Las Vegas, Nevada 89109",,http://d1marr3m5x4iac.cloudfront.net/images/block/I0-001/004/337/441-5.jpeg_/matt-goss-41.jpeg,,PST,04/07/18 07:30 PM,"(36.1220487, -115.1741718)"
Kenny Loggins in Las Vegas,09/08/18 08:00 PM,"Encore at Wynn Las Vegas, 3131 S Las Vegas Blvd, Las Vegas, Nevada 89109",,http://d1marr3m5x4iac.cloudfront.net/images/block/I0-001/003/885/666-9.png_/kenny-loggins-66.png,,PST,09/09/18 08:00 PM,"(36.1290754, -115.1652896)"
Kenny Loggins in Las Vegas,09/07/18 08:00 PM,"Encore at Wynn Las Vegas, 3131 S Las Vegas Blvd, Las Vegas, Nevada 89109",,http://d1marr3m5x4iac.cloudfront.net/images/block/I0-001/003/885/666-9.png_/kenny-loggins-66.png,,PST,09/08/18 08:00 PM,"(36.1290754, -115.1652896)"
