Title,Date,Location,Description,ImageURL,User Name,Time_Zone,End_Date,Long_Lat
Popovich Comedy PET Theater in Las Vegas,04/04/18 04:00 PM,"V Theater at Planet Hollywood Las Vegas, 3663 S Las Vegas Boulevard Suite 360a, Las Vegas, Nevada 89109",,http://d1marr3m5x4iac.cloudfront.net/images/block/I0-001/004/136/829-8.jpeg_/popovich-comedy-pet-theater-29.jpeg,,PST,04/05/18 04:00 PM,"(36.11081, -115.1689)"
Xavier Mortimer's Magical Dream in Las Vegas,04/04/18 07:00 PM,"Planet Hollywood Resort and Casino, 3667 Las Vegas Boulevard South, Las Vegas, Nevada 89109",,http://d1marr3m5x4iac.cloudfront.net/images/block/I0-001/038/502/530-7.jpeg_/xavier-mortimers-magical-dream-30.jpeg,,PST,04/05/18 07:00 PM,"(36.1099696, -115.1700646)"
The Bronx Wanderers in Las Vegas,04/04/18 06:00 PM,"Bally's Casino Hotel, 3645 Las Vegas Boulevard South, Las Vegas, Nevada 89109",,http://d1marr3m5x4iac.cloudfront.net/images/block/I0-001/004/351/912-4.jpeg_/the-bronx-wanderers-12.jpeg,,PST,04/05/18 06:00 PM,"(36.1140611, -115.170627)"
Frank Marino's Divas in Las Vegas,04/04/18 09:30 PM,"The LINQ Hotel and Casino, 3535 Las Vegas Boulevard S, Las Vegas, Nevada 89109",,http://d1marr3m5x4iac.cloudfront.net/images/block/I0-001/017/604/101-7.jpeg_/frank-marinos-divas-01.jpeg,,PST,04/05/18 09:30 PM,"(36.1181537, -115.1724421)"
Titanic - the Artifact Exhibition in Las Vegas,04/04/18 09:00 PM,"Titanic: The Artifact Exhibition, 3900 Las Vegas Boulevard South, Las Vegas, Nevada 89177",,http://d1marr3m5x4iac.cloudfront.net/images/block/I0-001/039/578/907-9.jpeg_/titanic-artifact-exhibition-07.jpeg,,PST,04/05/18 09:00 PM,"(36.095599, -115.175768)"
Cirque du Soleil - The Beatles: Love in Las Vegas,04/04/18 07:00 PM,"Love Theatre at The Mirage Hotel and Casino, 3400 Las Vegas Blvd South, Las Vegas, Nevada 89109",,http://d1marr3m5x4iac.cloudfront.net/images/block/I0-001/027/548/227-8.png_/cirque-du-soleil-27.png,,PST,04/05/18 07:00 PM,"(36.1211957, -115.1740735)"
Blue Man Group in Las Vegas,04/04/18 04:00 PM,"Luxor Las Vegas, 3900 Las Vegas Boulevard South, Las Vegas, Nevada 89119",,http://d1marr3m5x4iac.cloudfront.net/images/block/I0-001/014/568/219-3.jpeg_/blue-man-group-19.jpeg,,PST,04/05/18 04:00 PM,"(36.09551, -115.1760672)"
Jerry Seinfeld in Las Vegas,04/20/18 07:30 PM,"The Colosseum At Caesars Palace, 3570 Las Vegas Blvd. South,, Las Vegas, Nevada 89109",,http://d1marr3m5x4iac.cloudfront.net/images/block/I0-001/017/567/049-6.jpeg_/jerry-seinfeld-49.jpeg,,PST,04/21/18 07:30 PM,"(36.1179097, -115.1749868)"
Jerry Seinfeld in Las Vegas,04/21/18 07:30 PM,"The Colosseum At Caesars Palace, 3570 Las Vegas Blvd. South,, Las Vegas, Nevada 89109",,http://d1marr3m5x4iac.cloudfront.net/images/block/I0-001/017/567/049-6.jpeg_/jerry-seinfeld-49.jpeg,,PST,04/22/18 07:30 PM,"(36.1179097, -115.1749868)"
Mel Brooks in Las Vegas,04/27/18 07:30 PM,"Encore at Wynn Las Vegas, 3131 S Las Vegas Blvd, Las Vegas, Nevada 89109",,http://d1marr3m5x4iac.cloudfront.net/images/block/I0-001/038/139/515-6.jpeg_/mel-brooks-15.jpeg,,PST,04/28/18 07:30 PM,"(36.1290754, -115.1652896)"
Tiffany Haddish in Las Vegas,04/28/18 10:00 PM,"Terry Fator Theatre at The Mirage, 3400 S Las Vegas Blvd, Las Vegas, Nevada 89109",,http://d1marr3m5x4iac.cloudfront.net/images/block/I0-001/039/714/548-2.jpeg_/tiffany-haddish-48.jpeg,,PST,04/29/18 10:00 PM,"(36.121559, -115.175803)"
Mel Brooks in Las Vegas,04/28/18 07:30 PM,"Encore at Wynn Las Vegas, 3131 S Las Vegas Blvd, Las Vegas, Nevada 89109",,http://d1marr3m5x4iac.cloudfront.net/images/block/I0-001/038/139/515-6.jpeg_/mel-brooks-15.jpeg,,PST,04/29/18 07:30 PM,"(36.1290754, -115.1652896)"
Nick Swardson in Las Vegas,04/27/18 10:00 PM,"Terry Fator Theatre at The Mirage, 3400 S Las Vegas Blvd, Las Vegas, Nevada 89109",,http://d1marr3m5x4iac.cloudfront.net/images/block/I0-001/009/291/584-9.jpeg_/nick-swardson-84.jpeg,,PST,04/28/18 10:00 PM,"(36.121559, -115.175803)"
Tyler Henry in Jean,04/21/18 08:00 PM,"Star of the Desert Arena, 31700 South Las Vegas Boulevard, Jean, Nevada 89019",,http://d1marr3m5x4iac.cloudfront.net/images/block/I0-001/039/116/517-4.jpeg_/tyler-henry-17.jpeg,,PST,04/22/18 08:00 PM,"(35.61438880000001, -115.3836147)"
